Veículo;SS;Tipo de tempo;Horário;Obs
220;2;LT;10:20:05;b0001ITE - Velocidade: 78.18km/h
220;2;CT;12:51:53;bm0076FTE - Velocidade: 82.25km/h
220;2;W;09:26:54;a0000 - Velocidade: 23.8km/h
220;3;W;13:16:25;a0000 - Velocidade: 20.47km/h
220;2;W;10:21:23;c0003 - Velocidade: 102.48km/h
220;2;W;10:21:27;d0004 - Velocidade: 91.28km/h
220;2;W;10:21:32;e0005 - Velocidade: 83.16km/h
220;2;W;10:24:06;f0006 - Velocidade: 101.87km/h
220;2;W;10:24:30;g0007 - Velocidade: 80.62km/h
220;2;W;10:25:27;h0008 - Velocidade: 69.36km/h
220;2;W;10:34:47;k0011 - Velocidade: 66.68km/h
220;2;W;10:36:12;l0012 - Velocidade: 86.61km/h
220;2;W;10:37:23;m0013 - Velocidade: 45.02km/h
220;2;W;10:38:21;n0014 - Velocidade: 64.29km/h
220;2;W;10:39:20;o0015 - Velocidade: 94.21km/h
220;2;W;10:48:23;t0023 - Velocidade: 48.97km/h
220;2;W;10:53:24;v0025 - Velocidade: 65.61km/h
220;2;W;10:55:29;w0026 - Velocidade: 24.64km/h
220;2;W;10:58:03;x0027 - Velocidade: 38.15km/h
220;2;W;10:59:23;y0028 - Velocidade: 114.21km/h
220;2;W;11:01:09;z0029 - Velocidade: 30.21km/h
220;2;W;11:02:55;aa0030 - Velocidade: 88.66km/h
220;2;W;11:12:01;ae0037 - Velocidade: 78.31km/h
220;2;W;11:14:24;af0040 - Velocidade: 104.69km/h
220;2;W;11:15:54;ag0041 - Velocidade: 42.88km/h
220;2;W;11:18:06;ah0042 - Velocidade: 42.69km/h
220;2;W;11:19:18;ai0043 - Velocidade: 73.78km/h
220;2;W;11:25:45;ak0045 - Velocidade: 1.08km/h
220;3;W;11:51:12;ak0045 - Velocidade: 56.53km/h
220;2;W;11:31:20;am0047 - Velocidade: 39.14km/h
220;2;W;11:34:46;an0048 - Velocidade: 48.93km/h
220;3;W;11:43:10;an0048 - Velocidade: 50.04km/h
220;2;W;11:35:04;ao0049 - Velocidade: 54.13km/h
220;2;W;11:37:10;ap0050 - Velocidade: 69.08km/h
220;2;W;11:40:12;aq0053 - Velocidade: 78.97km/h
220;2;W;11:40:39;ar0054 - Velocidade: 48.13km/h
220;2;W;11:41:58;as0055 - Velocidade: 36.15km/h
220;2;W;11:42:49;at0056 - Velocidade: 98.51km/h
220;2;W;11:44:08;au0057 - Velocidade: 114.12km/h
220;2;W;11:45:08;av0058 - Velocidade: 110.05km/h
220;2;W;11:48:52;aw0059 - Velocidade: 65.23km/h
220;2;W;11:49:57;aw0060 - Velocidade: 68.72km/h
220;2;W;11:51:02;ax0061 - Velocidade: 52.27km/h
220;2;W;11:59:31;az0063 - Velocidade: 38.72km/h
220;2;W;12:10:43;bb0064A - Velocidade: 32.66km/h
220;2;W;12:15:40;bd0066 - Velocidade: 64.57km/h
220;2;W;12:18:07;be0067 - Velocidade: 51.86km/h
220;2;W;12:19:16;bf0068 - Velocidade: 88.18km/h
220;2;W;12:25:14;bg0069 - Velocidade: 65.62km/h
220;2;W;12:48:22;bk0074 - Velocidade: 24.46km/h
220;2;W;12:49:02;bl0075 - Velocidade: 48.57km/h
220;2;W;12:53:25;br0077 - Velocidade: 0.84km/h
220;2;I1;10:44:29;r0021 - Velocidade: 93.51km/h
220;2;I2;11:04:35;ab0031 - Velocidade: 55.45km/h
220;2;I3;12:06:34;ba0064 - Velocidade: 54.71km/h
220;2;I4;12:40:16;eeParcial4 - Velocidade: 55.53km/h
220;2;IR;10:30:04;i0009IZVC1 - Velocidade: 53.12km/h
220;2;IR;10:41:16;p0019IZVC2 - Velocidade: 62.16km/h
220;2;IR;10:45:55;s0022IZVC3 - Velocidade: 40.08km/h
220;2;IR;11:07:28;ac0032IZVC4 - Velocidade: 39.64km/h
220;2;IR;11:22:16;aj0044IZVC5 - Velocidade: 31.32km/h
220;2;IR;11:51:15;ay0062IZVC6 - Velocidade: 45.22km/h
220;2;IR;12:26:52;bh0070IZVC7 - Velocidade: 38.48km/h
220;2;IR;12:34:48;bj0072IZVC8 - Velocidade: 25.41km/h
220;2;P;00:00:30;Alta velocidade: aj0044IZVC5 - Velocidade mais alta na ZVC: 69.4km/h
220;2;P;00:00:30;Alta velocidade: ay0062IZVC6 - Velocidade mais alta na ZVC: 62.79km/h
220;2;P;;Alta velocidade: bh0070IZVC7 - Velocidade mais alta na ZVC: 62.79km/h
220;2;P;00:00:30;Alta velocidade: bj0072IZVC8 - Velocidade mais alta na ZVC: 67.15km/h
220;2;FR;10:32:16;j0010FZVC1 - Velocidade: 91.2km/h
220;2;FR;10:43:30;q0020FZVC2 - Velocidade: 71.5km/h
220;2;FR;10:51:58;u0024FZVC3 - Velocidade: 61.88km/h
220;2;FR;11:09:30;ad0036FZVC4 - Velocidade: 50.48km/h
220;2;FR;11:30:18;al0046FZVC5 - Velocidade: 69.4km/h
220;2;FR;12:14:19;bc0065FZVC6 - Velocidade: 75.59km/h
220;2;FR;12:11:10;bi0071FZVC7 - Velocidade: 8.27km/h
220;3;FR;12:32:03;bi0071FZVC7 - Velocidade: 96.64km/h
220;2;FR;12:47:49;bj0073FZVC8 - Velocidade: 80.81km/h
